Message,num_words,num_uppercase,num_lowercase_words,num_chars,num_special_chars,num_links,num_spam_words,num_digits,label
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",30,1,26,146,14,0,1,0,spam
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,25,17,15,126,5,0,1,0,spam
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,31,4,27,159,3,0,0,1,spam
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,24,13,16,147,2,0,2,22,spam
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,14,1,13,63,2,0,0,1,spam
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,30,4,25,131,5,0,0,0,spam
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,18,2,16,84,0,0,0,0,spam
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,26,28,12,174,16,0,0,0,spam
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,13,8,11,86,4,0,0,0,spam
"What's up bruv, hope you had a great break. Do have a rewarding semester.",14,2,12,73,4,0,0,0,spam
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",30,15,23,137,6,0,1,2,spam
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,34,17,21,157,8,0,0,7,spam
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",27,20,17,145,14,0,1,0,spam
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,23,12,12,150,3,0,2,22,spam
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",34,3,31,179,11,0,1,0,spam
We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,27,21,17,154,4,0,0,14,spam
Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,25,2,21,121,0,0,0,13,spam
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,27,20,14,159,7,0,1,19,spam
Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,24,6,19,133,3,0,1,0,spam
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,25,26,12,155,7,0,0,12,spam
All done? All handed in? Celebrations in full swing yet?,10,3,7,56,3,0,1,0,spam
Ok. I asked for money how far,7,2,5,29,1,0,0,0,spam
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,35,0,34,148,1,0,0,1,spam
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,29,22,18,159,8,0,1,13,spam
Jos ask if u wana meet up?,7,1,6,26,1,0,0,0,spam
"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",25,21,10,133,10,0,1,18,spam
He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,24,1,23,119,3,0,0,0,spam
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,27,13,16,157,4,0,1,13,spam
That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,31,7,23,157,6,0,0,0,spam
Maybe i could get book out tomo then return it immediately ..? Or something.,14,2,11,76,4,0,0,0,spam
Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,27,9,18,158,7,0,1,23,spam
Cool. So how come you havent been wined and dined before?,11,2,9,57,2,0,1,0,spam
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,20,15,10,111,8,0,0,8,spam
"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",34,24,20,202,7,0,0,0,spam
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,23,12,12,150,3,0,2,22,spam
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,22,16,13,148,9,0,0,28,spam
Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,16,3,13,88,5,0,0,0,spam
"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",25,23,3,165,11,0,1,18,spam
Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,16,6,10,129,6,0,0,17,spam
"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",26,10,16,157,3,0,0,14,spam
I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,27,5,22,143,5,0,0,0,spam
"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",57,6,51,300,14,0,1,0,spam
Hey i will be late ah... Meet you at 945+,10,2,7,41,4,0,0,3,spam
"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",22,17,9,149,4,0,1,16,spam
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,26,9,17,155,4,0,1,16,spam
"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.",30,19,17,204,11,0,0,0,spam
"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop",32,21,22,156,3,0,1,28,spam
100 dating service cal;l 09064012103 box334sk38ch,6,0,4,49,1,0,0,19,spam
FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,18,12,11,106,5,0,2,10,spam
"Alright, I'll head out in a few minutes, text me where to meet you",14,2,12,66,3,0,0,0,spam
Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,27,4,22,162,2,0,0,19,spam
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,22,21,12,136,4,0,2,21,spam
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,27,5,24,150,17,0,1,0,spam
The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?,15,2,12,89,17,0,0,0,spam
"HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS, HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX",17,99,0,119,4,0,0,0,spam
"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",28,7,15,162,9,0,1,19,spam
"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",29,24,16,175,8,0,1,13,spam
okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,27,19,14,161,5,0,0,24,spam
"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",50,4,46,298,18,0,0,1,spam
If we win its really no 1 side for long time.,11,1,9,45,1,0,1,1,spam
"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",23,23,13,146,4,0,1,14,spam
"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card",26,3,23,120,2,0,0,0,spam
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",27,12,15,160,12,0,1,24,spam
"Sorry,in meeting I'll call later",5,2,3,32,2,0,0,0,spam
Are you free now?can i call now?,7,1,6,32,2,0,1,0,spam
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",35,1,32,149,4,0,1,1,spam
You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|,32,6,26,166,12,0,0,0,spam
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",25,24,11,147,7,0,1,18,spam
"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri.",35,3,32,167,5,0,1,0,spam
Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,20,2,18,117,3,0,0,0,spam
"URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",24,22,10,144,10,0,2,24,spam
"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X",28,14,11,158,10,0,0,24,spam
PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04,19,17,4,145,8,0,0,40,spam
I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,32,3,29,149,3,0,0,0,spam
"Hurry up, I've been weed-deficient for like three days",9,2,7,54,3,0,0,0,spam
I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book,28,2,26,127,1,0,0,0,spam
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,27,21,16,158,6,0,1,22,spam
"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...",34,6,22,146,16,0,0,0,spam
"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",22,3,18,103,2,0,1,2,spam
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",12,2,8,69,6,0,1,19,spam
"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321.",19,0,17,99,2,0,0,15,spam
We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,29,1,25,149,0,0,1,17,spam
So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,17,7,12,95,4,0,1,0,spam
"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den...",23,4,18,109,12,0,0,0,spam
"I'm in a meeting, call me later at",8,1,7,34,2,0,0,0,spam
"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",19,10,12,126,11,0,1,24,spam
You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,24,14,14,142,7,0,0,19,spam
PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,21,17,4,148,9,0,0,40,spam
You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,13,11,7,86,2,0,1,11,spam
Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,17,4,13,87,3,0,1,0,spam
Speaking of does he have any cash yet?,8,1,7,38,1,0,0,0,spam
Meet after lunch la...,4,1,3,22,3,0,0,0,spam
XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867,17,79,1,134,8,0,1,27,spam
I come n pick ü up... Come out immediately aft ur lesson...,12,2,10,59,6,0,0,0,spam
Dear we got  &lt;#&gt;  dollars hi hi,7,1,6,37,5,0,0,0,spam
"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",22,1,21,123,3,0,0,0,spam
New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,25,19,14,130,2,0,1,10,spam
"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",22,11,14,143,13,1,0,7,spam
When ü login dat time... Dad fetching ü home now?,10,2,8,49,4,0,0,0,spam
Probably gonna swing by in a wee bit,8,1,7,36,0,0,1,0,spam
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,20,17,4,136,9,0,0,29,spam
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",17,12,9,97,11,0,1,24,spam
"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",37,5,32,157,4,0,0,0,spam
"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",18,2,16,94,3,0,1,0,spam
Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,32,29,18,153,3,0,1,21,spam
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,35,15,20,158,9,0,0,14,spam
<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,15,6,11,111,3,0,1,23,spam
meet you in corporation st outside gap … you can see how my mind is working!,16,0,15,76,1,0,0,0,spam
"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",24,13,16,155,6,0,0,1,spam
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,26,11,17,160,6,0,1,16,spam
"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",24,2,22,125,3,0,0,0,spam
You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,24,5,18,145,2,0,1,22,spam
Lol you won't feel bad when I use her money to take you out to a steak dinner =D,19,3,16,80,2,0,0,0,spam
Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,25,38,6,148,9,0,0,15,spam
Ok. There may be a free gym about.,8,2,6,34,2,0,1,0,spam
U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795,25,11,14,131,1,0,0,19,spam
Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,15,17,7,159,5,0,1,33,spam
UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,23,25,8,149,5,0,1,25,spam
"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",20,2,17,103,10,0,0,1,spam
Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx,27,3,24,118,2,0,0,0,spam
You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,15,18,8,99,2,0,1,11,spam
"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",26,16,12,157,6,0,1,30,spam
This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,29,4,25,150,4,0,0,0,spam
"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",27,22,15,160,8,0,1,13,spam
"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",26,23,10,152,9,0,0,18,spam
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,29,18,18,162,7,0,1,19,spam
You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,27,10,16,141,4,0,1,29,spam
Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,23,12,12,148,3,0,2,19,spam
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",23,12,15,133,5,0,0,6,spam
BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & ILLSPEAK 2U SOONLOTS OF LOVEME XXXX.,23,93,0,124,6,0,0,2,spam
"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",20,24,15,156,10,0,0,18,spam
25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,31,7,20,161,5,0,0,20,spam
"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",24,13,15,152,13,1,0,5,spam
Surely result will offer:),4,1,3,26,2,0,0,0,spam
We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,28,15,18,155,0,0,0,14,spam
Last chance 2 claim ur £150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X or STOP,28,16,11,160,7,0,0,25,spam
I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx,20,1,18,81,0,0,0,2,spam
"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",26,18,10,152,6,0,1,27,spam
"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X",28,14,11,158,10,0,0,24,spam
AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.,21,90,0,114,3,0,0,1,spam
Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,28,6,23,144,4,0,0,5,spam
Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins,24,20,14,160,4,0,0,15,spam
